Mã,Tiêu đề,Nhóm,Độ khó,Phút,XP,Đang bật,Mô tả,Số bước,Các bước,Lợi ích (benefits),CẢNH BÁO: tiêu đề quá dài,CẢNH BÁO: thiếu mô tả,CẢNH BÁO: trùng tiêu đề với,Ghi chú rà soát
4.1,Tổ chức buổi chia sẻ tích cực (Positive Sharing Event),community,community,30,50,có,Gợi ý người dùng tổ chức một buổi gặp gỡ trực tuyến với bạn bè để chia sẻ về những điều tích cực trong cuộc sống.,5,"1. Lấy một cuốn sổ hoặc mở ứng dụng ghi chú. | 2. Hồi tưởng lại những khoảnh khắc, sự việc vừa diễn ra trong ngày. | 3. Viết ra 3 điều cụ thể mà bạn cảm thấy biết ơn hoặc tự hào. | 4. Viết kèm lý do tại sao điều đó lại có ý nghĩa với bạn. | 5. Đọc lại danh sách và mỉm cười ghi nhận những giá trị tốt đẹp.",Tái cấu trúc thần kinh (neuroplasticity) theo hướng tích cực; Giảm triệu chứng trầm cảm lên đến 30% nếu thực hành lâu dài; Tăng cường sản sinh serotonin tự nhiên,,,,
4.2,Góp sức cho cộng đồng (Volunteer Challenge) – Tương tác xã hội mức độ 3,community,community,30,50,có,"Tham gia vào một hoạt động tình nguyện tại địa phương (thu gom rác, phát quà từ thiện, giúp đỡ những người có hoàn cảnh khó khăn). Qua đó chúng ta thấy được bản thân còn may mắn hơn nhiều người khác mất đi tay, chân, giọng nói, bị tật nguyền khác…",5,"1. Xác định người hoặc tổ chức bạn muốn tương tác hoặc giúp đỡ. | 2. Chủ động liên hệ, gọi điện hoặc lên kế hoạch gặp mặt. | 3. Giao tiếp với thái độ chân thành, cởi mở, không phán xét. | 4. Lắng nghe tích cực và thể hiện sự thiện chí/đóng góp của bạn. | 5. Ghi nhận cảm xúc ấm áp sau khi kết nối xã hội hoàn thành.","Tăng nồng độ Oxytocin (hormone gắn kết tình cảm, giảm stress); Giảm cảm giác cô đơn và trầm cảm; Tạo động lực và nâng cao sự tự tôn thông qua giá trị trao đi",DÀI 71 ký tự,,,
4.3,Dạy kỹ năng cho người khác (Teaching Task),community,community,30,50,có,"Chia sẻ một kỹ năng đơn giản (nấu ăn, làm thủ công) cho bạn bè hoặc thành viên gia đình.",5,"1. Xác định người hoặc tổ chức bạn muốn tương tác hoặc giúp đỡ. | 2. Chủ động liên hệ, gọi điện hoặc lên kế hoạch gặp mặt. | 3. Giao tiếp với thái độ chân thành, cởi mở, không phán xét. | 4. Lắng nghe tích cực và thể hiện sự thiện chí/đóng góp của bạn. | 5. Ghi nhận cảm xúc ấm áp sau khi kết nối xã hội hoàn thành.","Tăng nồng độ Oxytocin (hormone gắn kết tình cảm, giảm stress); Giảm cảm giác cô đơn và trầm cảm; Tạo động lực và nâng cao sự tự tôn thông qua giá trị trao đi",,,,
1.1,Hiểu về sự căng thẳng,easy,easy,5,15,có,"Giúp người dùng hiểu được bản chất sự căng thẳng, mệt mỏi và thậm chí mất mát. Nguồn gốc và lí tại sao đôi lúc trong cuộc sống vẫn cần sự căng thẳng.",5,"1. Bước 1: Tìm một không gian yên tĩnh và dừng các việc đang làm. | 2. Bước 2: Hít một hơi thật sâu và chuẩn bị tinh thần thư giãn. | 3. Bước 3: Bắt đầu thực hiện bài tập 'Hiểu về sự căng thẳng'. | 4. Bước 4: Tập trung vào cảm nhận hiện tại, loại bỏ những suy nghĩ phiền nhiễu. | 5. Bước 5: Ghi nhận sự thay đổi tích cực sau khi hoàn thành.","Giảm mức độ cortisol, giúp hệ thần kinh thư giãn; Tạo ra hormone hạnh phúc (endorphin/dopamine); Giúp chuyển hướng sự chú ý khỏi tác nhân gây lo âu",,,,
1.1,Tắm nắng,easy,easy,5,15,có,"Dành thời gian để tắm nắng, tận hưởng ánh nắng rất tốt cho da và tâm trạng",5,"1. Bước 1: Tìm một không gian yên tĩnh và dừng các việc đang làm. | 2. Bước 2: Hít một hơi thật sâu và chuẩn bị tinh thần thư giãn. | 3. Bước 3: Bắt đầu thực hiện bài tập 'Tắm nắng'. | 4. Bước 4: Tập trung vào cảm nhận hiện tại, loại bỏ những suy nghĩ phiền nhiễu. | 5. Bước 5: Ghi nhận sự thay đổi tích cực sau khi hoàn thành.","Giảm mức độ cortisol, giúp hệ thần kinh thư giãn; Tạo ra hormone hạnh phúc (endorphin/dopamine); Giúp chuyển hướng sự chú ý khỏi tác nhân gây lo âu",,,,
1.11,Một mình ngắm hoàng hôn và bình minh,easy,easy,5,15,có,,5,"1. Bước 1: Tìm một không gian yên tĩnh và dừng các việc đang làm. | 2. Bước 2: Hít một hơi thật sâu và chuẩn bị tinh thần thư giãn. | 3. Bước 3: Bắt đầu thực hiện bài tập 'Một mình ngắm hoàng hôn và bình minh'. | 4. Bước 4: Tập trung vào cảm nhận hiện tại, loại bỏ những suy nghĩ phiền nhiễu. | 5. Bước 5: Ghi nhận sự thay đổi tích cực sau khi hoàn thành.","Giảm mức độ cortisol, giúp hệ thần kinh thư giãn; Tạo ra hormone hạnh phúc (endorphin/dopamine); Giúp chuyển hướng sự chú ý khỏi tác nhân gây lo âu",,THIẾU MÔ TẢ,,
1.12,Bỏ kết bạn và theo dõi các thông tin bullshit,easy,easy,5,15,có,,5,"1. Bước 1: Tìm một không gian yên tĩnh và dừng các việc đang làm. | 2. Bước 2: Hít một hơi thật sâu và chuẩn bị tinh thần thư giãn. | 3. Bước 3: Bắt đầu thực hiện bài tập 'Bỏ kết bạn và theo dõi các thông tin bullshit'. | 4. Bước 4: Tập trung vào cảm nhận hiện tại, loại bỏ những suy nghĩ phiền nhiễu. | 5. Bước 5: Ghi nhận sự thay đổi tích cực sau khi hoàn thành.","Giảm mức độ cortisol, giúp hệ thần kinh thư giãn; Tạo ra hormone hạnh phúc (endorphin/dopamine); Giúp chuyển hướng sự chú ý khỏi tác nhân gây lo âu",,THIẾU MÔ TẢ,,
1.13,Uống một cốc nước chậm rãi đầu ngà và uống nhiều nước hơn bình thường (Mindful Drinking Game),easy,easy,5,15,có,Tăng cường việc uống nước giúp đẩy nhanh việc trao đổi chất.,5,"1. Chuẩn bị một cốc nước lọc (có thể là nước ấm). | 2. Cầm cốc nước trên tay, cảm nhận nhiệt độ truyền qua da. | 3. Uống một ngụm nhỏ đầu tiên, giữ trong miệng 2-3 giây. | 4. Nuốt chậm rãi và cảm nhận dòng nước đi xuống họng. | 5. Tiếp tục uống từng ngụm nhỏ cho đến khi hết cốc.","Hydrat hóa tế bào não, giảm đau đầu do căng thẳng; Kích hoạt phản xạ nuốt giúp làm dịu dây thần kinh phế vị; Thực hành chánh niệm grounding hiệu quả",DÀI 93 ký tự,,,
1.14,Giảm tần suất sử dụng thuốc lá và rượu bia,easy,easy,5,15,có,,5,"1. Bước 1: Tìm một không gian yên tĩnh và dừng các việc đang làm. | 2. Bước 2: Hít một hơi thật sâu và chuẩn bị tinh thần thư giãn. | 3. Bước 3: Bắt đầu thực hiện bài tập 'Giảm tần suất sử dụng thuốc lá và rượu bia'. | 4. Bước 4: Tập trung vào cảm nhận hiện tại, loại bỏ những suy nghĩ phiền nhiễu. | 5. Bước 5: Ghi nhận sự thay đổi tích cực sau khi hoàn thành.","Giảm mức độ cortisol, giúp hệ thần kinh thư giãn; Tạo ra hormone hạnh phúc (endorphin/dopamine); Giúp chuyển hướng sự chú ý khỏi tác nhân gây lo âu",,THIẾU MÔ TẢ,2.15,
1.15,Nhảy tự do theo nhạc (Free Dance Challenge),easy,easy,5,15,có,Bật một bản nhạc vui vẻ và yêu cầu người dùng nhảy tự do trong 3-5 phút.,5,"1. Đeo tai nghe hoặc bật loa với âm lượng vừa phải. | 2. Nhắm mắt lại để tập trung vào thính giác. | 3. Lắng nghe từng nốt nhạc, giai điệu hoặc lời bài hát. | 4. Thả lỏng cơ thể theo nhịp điệu của âm thanh. | 5. Cho phép tâm trí phiêu lưu theo bản nhạc trong ít nhất 5 phút.",Giảm nhịp tim và đồng bộ hóa sóng não thành trạng thái Alpha; Kích thích khu vực vỏ não tiết ra dopamine; Giảm lo âu đáng kể so với việc im lặng thụ động,,,,
1.16,Chơi với thú cưng,easy,easy,5,15,có,Chơi với thú cưng của bạn hoặc nuôi một chú chó hoặc chú mèo con,5,"1. Bước 1: Tìm một không gian yên tĩnh và dừng các việc đang làm. | 2. Bước 2: Hít một hơi thật sâu và chuẩn bị tinh thần thư giãn. | 3. Bước 3: Bắt đầu thực hiện bài tập 'Chơi với thú cưng'. | 4. Bước 4: Tập trung vào cảm nhận hiện tại, loại bỏ những suy nghĩ phiền nhiễu. | 5. Bước 5: Ghi nhận sự thay đổi tích cực sau khi hoàn thành.","Giảm mức độ cortisol, giúp hệ thần kinh thư giãn; Tạo ra hormone hạnh phúc (endorphin/dopamine); Giúp chuyển hướng sự chú ý khỏi tác nhân gây lo âu",,,,
1.17,Đi bằng cầu thang bộ (Stair Challenge),easy,easy,5,15,có,"Thay đổi việc vận động, thay vì sử dụng thang máy, thang cuốn thì chuyển qua sử dụng thang bộ",5,"1. Mặc đồ thoải mái và mang giày phù hợp. | 2. Khởi động nhẹ nhàng các khớp trong 1-2 phút. | 3. Thực hiện bài tập (đi bộ, nhảy, leo cầu thang) với nhịp độ tăng dần. | 4. Chú ý vào nhịp thở và sự vận động của cơ bắp. | 5. Giãn cơ sau khi hoàn thành để cơ thể phục hồi.","Endorphin được tiết ra giúp giảm đau và tạo cảm giác hưng phấn; Cải thiện tuần hoàn máu lên não, minh mẫn hơn; Tiêu hao lượng adrenaline dư thừa gây bồn chồn",,,,
